Unique ID,Incentive per job,Program.Name,Program,Deal date,Deal type,Freezone?,Domestic/FDI?,Region/state,CBSA,Capex,New jobs,Incentive (USD m),Incentive per job,Incentive type,Incentive objective(s),NAICS Industry,NAICS Sector,NAICS Sub-sector,Industry sector,Industry activities,fDi Markets Sector,fDI Markets Activity
28,3529.411765,Program.1,Commonwealth Opportunity Fund,Sep-19,New,No,FDI,Virginia,"Blacksburg-Christiansburg-Radford, VA",10,170,0.6,3529,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Information Technology & Telecom (ITT),Headquarters (HQ),Software & IT services,Headquarters
29,5650,Program.1,Commonwealth Opportunity Fund,Sep-19,Expansion,No,Domestic,Virginia,"Richmond, VA",63.7,200,1.13,5650,Grant/Subsidy,"Capital Investment, Employment/People","Professional, scientific, technical & ed..",Scientific research & development services,Research and Development in Biotechnology,Life Sciences,"Research, Design & Development (RDD)",Biotechnology,Research & Development
30,3921.568627,Program.1,Commonwealth Opportunity Fund,Aug-19,Expansion,No,Domestic,Virginia,Not specified,8,102,0.4,3922,Grant/Subsidy,"Capital Investment, Employment/People",Machinery & metal manufacturing,Fabricated metal product manufacturing,Forging & stamping,Industrial Goods,Manufacturing,Metals,Manufacturing
31,7250,Program.1,Commonwealth Opportunity Fund,May-19,New,No,Domestic,Virginia,"Danville, VA",46,160,1.16,7250,"Grant/Subsidy, Loan/Credit","Capital In.., Regional/L.., Employment..","Agriculture, food, & related",Food manufacturing,Seasoning & dressing manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
32,15384.61538,Program.1,Commonwealth Opportunity Fund,May-19,Expansion,No,Domestic,Virginia,"Staunton-Waynesboro, VA",104,65,1,15385,Grant/Subsidy,"Capital Investment, Employment/People","Agriculture, food, & related",Food manufacturing,Sugar & confectionary product manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
33,4901.960784,Program.1,Commonwealth Opportunity Fund,Apr-19,New,No,FDI,Virginia,"Staunton-Waynesboro, VA",15.5,51,0.25,4902,Grant/Subsidy,"Capital Investment, Employment/People","Agriculture, food, & related",Beverage manufacturing,Soft drink & ice manufacturing,Food & Drink,Manufacturing,Beverages,Manufacturing
34,72916.66667,Program.1,Commonwealth Opportunity Fund,Apr-19,New,No,FDI,Virginia,Not specified,7.7,48,3.5,72917,"Grant/Subsidy, Loan/Credit","Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Industrial Goods,Headquarters (HQ),Metals,Headquarters
35,3000,Program.1,Commonwealth Opportunity Fund,Apr-19,New,No,Domestic,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",60,60,0.18,3000,Grant/Subsidy,"Capital Investment, Employment/People",Transportation & warehousing,Warehousing & storage,Warehousing & storage,Services,Warehousing and Distribution,Warehousing & Storage,"Logistics, Distribution & Transportation"
36,450,Program.1,Commonwealth Opportunity Fund,Apr-19,Expansion,No,Domestic,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5.1,1000,0.45,450,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Information Technology & Telecom (ITT),Headquarters (HQ),Software & IT services,Headquarters
37,7500,Program.1,Commonwealth Opportunity Fund,Mar-19,Expansion,No,Domestic,Virginia,"Richmond, VA",25.1,100,0.75,7500,Grant/Subsidy,"Capital Investment, Employment/People","Professional, scientific, technical & ed..","Architectural, engineering, & related se..","Architectural, engineering, & related se..",Services,Business Services,Business Services,Business Services
