,FIPS,county,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048
2508,47161,"Stewart,TN",1615.5067787185,1582.6820988052998,1559.7843700493002,1527.7447418662,1500.8089003463,1472.5763136866,1439.7975560993,1415.8795717620999,1391.8323894908,1365.8948762992002,1339.4736137767002,1305.5822920501,1280.7801273285002,1251.0398379026,1223.0075746204,1193.7535876307,1168.8623070128,1144.4087594584998,1116.5855486091,1096.0284310732002,1069.7092575974002,1043.7752396474,1022.4235847179999,1001.7965784849,982.4619227453,966.2527458597001,945.8619646677,923.7921515928999,905.6514072185,889.1265260376999,871.5407903704
2509,47163,"Sullivan,TN",12479.937691067,12193.032626499002,11947.055103793999,11690.622615248001,11426.317726968,11171.786618029999,10922.745934788001,10707.258317056,10489.882379060999,10263.657521375,10039.21441883,9798.995535825,9591.401528108,9402.464208083,9241.60972656,9064.234903229,8882.840319387,8709.237295229,8515.715433754,8301.923174614,8099.619573503999,7904.603394459999,7722.86472898,7536.767661100001,7365.28707074,7195.932596079999,7037.72667204,6900.7970699,6778.8753505,6658.01674753,6532.47825953
2510,47165,"Sumner,TN",13172.003988580002,13129.1342630414,13069.7928009744,12998.1336277773,12940.3557334551,12868.917617841898,12808.7869492483,12729.308351806101,12669.7286724115,12602.7710505035,12526.2653216063,12425.644124721799,12302.3620829391,12176.265082429398,12042.5341689392,11912.858363430101,11785.9876032114,11654.555681832,11523.496794614399,11369.8310880737,11221.7993989057,11080.2920763325,10927.9953972317,10784.203550165501,10648.775878262599,10500.2845131779,10371.6047107331,10245.2709440464,10134.4990554975,10026.699988070799,9927.310435774
2511,47167,"Tipton,TN",4620.516478718,4578.36603891,4546.893031105,4506.591399868,4466.682811998,4430.713045433,4391.569724548999,4353.471327601,4315.035088349,4287.600257100999,4251.94309856,4208.976026034999,4171.383730787,4136.395935621001,4100.423373509,4063.697794674,4027.192012014,3983.767553114,3943.6360192750003,3912.8442282980004,3881.080855291,3837.7237071890004,3794.815709419,3765.630342694,3729.490165902,3686.6595419789996,3649.139883504,3615.2328698,3579.01028002,3532.3790064799996,3500.4470944699997
2512,47169,"Trousdale,TN",548.9409959395,541.8356309114,533.8785696911,528.5071250851,519.3898995372999,509.4530778022,500.03381968530005,491.78038343340006,486.7044527233,479.8114816574,471.1808801911,462.78679635540004,458.3118243778,454.5984477551,447.20575345310004,436.9783294419,430.2297619597,424.3952147012,418.25528169049994,410.68532697809997,400.30767124170006,397.54259203690003,389.0875836749,381.74697621309997,377.1206242482,369.69917402040005,364.0104518427999,357.7830676853,352.2983641456,344.7784475335,340.115961257
2513,47171,"Unicoi,TN",1705.2433669096001,1674.870702749,1643.1970330657998,1616.5181213239002,1590.3746683504,1566.1079722144,1529.1132880205998,1498.3202465153001,1473.1600110916,1441.0045246917,1408.9231408423,1378.3210978093002,1350.1496599393,1317.315434034,1284.525305363,1260.478261156,1225.247220412,1201.730024177,1174.442996777,1145.381480362,1118.439821887,1095.10880313,1065.36975716,1042.722095364,1019.260450414,994.911681656,971.4343941879999,949.70784394,926.957601889,910.417626893,892.948770771
2514,47173,"Union,TN",1334.9695639870001,1340.135398,1329.880373617,1328.319606405,1319.0976613980001,1322.6668935609998,1316.158369876,1308.8721394519998,1302.275018595,1285.2377354149996,1291.647591387,1288.8568477160002,1275.7318104710002,1271.6824049020001,1255.2231545349998,1256.0102928810002,1228.479749971,1226.9098819590001,1224.4808210939998,1206.3192051400001,1201.674255661,1193.4410810949998,1186.205347647,1171.441114607,1161.0504199030001,1155.1203237299999,1132.500472174,1122.9343050500001,1102.436264775,1087.2807394840002,1071.718126525
2515,47175,"Van Buren,TN",481.63559937670004,479.8159478561,474.300936668,467.2866871411,459.89890944999996,452.15002776740005,449.574865721,437.437030594,430.8428872152,424.71182842720003,417.0827117093,406.3816385161,398.37008896559996,387.39435056310003,378.94123299750004,368.6813086596,353.59463560520004,345.89475285599997,333.36552368590003,321.4466175164,309.7889423141,301.4315468251,293.5181608181,282.0217483464,274.1237914536,265.8401998607,254.7042712187,248.03123664769998,238.89654045950002,231.4051249021,224.8430693513
2516,47177,"Warren,TN",2404.1961829439,2353.9374829697003,2298.6839970038,2258.6580688396,2215.4164145112995,2167.8073434477,2115.3042411744,2068.2457397056,2020.5714547122998,1973.1202987775,1926.3273508367,1878.3360615727,1837.1020119722998,1796.9410693812001,1742.0317420556,1693.5158630275998,1647.9555546222,1605.8366809916001,1562.689018026,1520.3612700899998,1483.757432601,1446.08448787,1407.3382307759998,1369.2752156119998,1337.318491002,1302.0895897920002,1273.3670245459998,1242.3611540309998,1211.470734916,1181.354783175,1151.738460024
2517,47179,"Washington,TN",10787.574699280001,10616.990859030002,10470.65057743,10366.19950841,10255.71790333,10138.253713600001,10022.779243629999,9925.09950202,9832.36961602,9713.48906117,9601.15280205,9499.01496303,9382.79124416,9275.20695863,9183.921833010001,9087.62484905,8995.06764424,8901.30469245,8808.82045397,8711.469035240001,8611.63559124,8503.80034794,8415.103215750001,8317.16269252,8242.5520894,8160.81781573,8083.4236915500005,8014.56618818,7937.402380979999,7870.90880209,7807.87418598
